Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross
1,1.0,2.0,"$780,000,000","$780,000,000",Taylor Swift,The Eras Tour †,2023–2024,56,13928571
2,1.0,7.0,"$579,800,000","$579,800,000",Beyoncé,Renaissance World Tour,2023,56,10353571
3,1.0,2.0,"$411,000,000","$560,622,615",Madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,4835294
4,2.0,10.0,"$397,300,000","$454,751,555",Pink,Beautiful Trauma World Tour,2018–2019,156,2546795
5,2.0,8.5,"$345,675,146","$402,844,849",Taylor Swift,Reputation Stadium Tour,2018,53,6522173
6,2.0,10.0,"$305,158,363","$388,978,496",Madonna,The MDNA Tour,2012,88,3467709
7,2.0,8.5,"$280,000,000","$381,932,682",Celine Dion,Taking Chances World Tour,2008–2009,131,2137405
7,2.0,8.5,"$257,600,000","$257,600,000",Pink,Summer Carnival †,2023–2024,41,6282927
9,2.0,8.5,"$256,084,556","$312,258,401",Beyoncé,The Formation World Tour,2016,49,5226215
10,2.0,8.5,"$250,400,000","$309,141,878",Taylor Swift,The 1989 World Tour,2015,85,2945882
11,2.0,8.5,"$229,100,000[b]","$283,202,896",Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606
12,2.0,14.0,"$227,400,000","$295,301,479",Lady Gaga,The Monster Ball Tour *,2009–2011,203,1118227
13,2.0,8.5,"$204,000,000","$251,856,802",Katy Perry,Prismatic World Tour,2014–2015,151,1350993
14,1.0,8.5,"$200,000,000","$299,676,265",Cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,615385
15,2.0,8.5,"$194,000,000","$281,617,035",Madonna,Confessions Tour,2006,60,3233333
16,2.0,8.5,"$184,000,000","$227,452,347",Pink,The Truth About Love Tour,2013–2014,142,1295775
17,2.0,8.5,"$170,000,000","$213,568,571",Lady Gaga,Born This Way Ball,2012–2013,98,1734694
18,2.0,8.5,"$169,800,000","$207,046,755",Madonna,Rebel Heart Tour,2015–2016,82,2070732
19,2.0,8.5,"$167,700,000[e]","$204,486,106",Adele,Adele Live 2016,2016–2017,121,1385950
20,2.0,8.5,"$150,000,000","$185,423,109",Taylor Swift,The Red Tour,2013–2014,86,1744186
